Text,Token,Start Index,End Index,Entity Label,Knowledge Base ID
"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Debt Financing,&nbsp;Grant,&nbsp;Post-IPO Equity",Venture - Series,0,16,ORG,
"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Grant,&nbsp;Debt Financing","Venture - Series Unknown,&nbsp;Private",0,38,ORG,
"Seed,&nbsp;Pre-Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Debt Financing",Financing,77,86,ORG,
"Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Undisclosed,&nbsp;Post-IPO Debt","Seed,&nbsp;Series A,&nbsp;Series",0,32,ORG,
"Venture - Series Unknown,&nbsp;Debt Financing,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Series A",Venture - Series,0,16,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Grant,&nbsp;Series B","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series",0,48,ORG,
"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Debt Financing,&nbsp;Series B","Venture - Series Unknown,&nbsp;Private",0,38,ORG,
"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Debt Financing,&nbsp;Seed,&nbsp;Grant","Venture - Series Unknown,&nbsp;Private",0,38,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Grant,&nbsp;Series B","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series",0,48,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed",0,80,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Grant","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series",0,48,ORG,
"Seed,&nbsp;Pre-Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Debt Financing",Financing,77,86,ORG,
"Seed,&nbsp;Pre-Seed,&nbsp;Grant,&nbsp;Series A,&nbsp;Venture - Series Unknown","A,&nbsp;Venture - Series Unknown",45,77,LAW,
"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Debt Financing,&nbsp;Grant,&nbsp;Post-IPO Equity",Venture - Series,0,16,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Series C","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series",0,48,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Debt Financing","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series",0,63,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Debt Financing","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series",0,63,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Series A,&nbsp;Series B",Venture - Series,0,16,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C",0,80,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C",0,80,ORG,
"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Grant,&nbsp;Debt Financing","Venture - Series Unknown,&nbsp;Private",0,38,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed",0,80,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed",0,80,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Grant,&nbsp;Series B","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series",0,48,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Grant,&nbsp;Series B","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series",0,48,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Grant,&nbsp;Series B","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series",0,48,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C",0,80,ORG,
"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Post-IPO Equity,&nbsp;Grant,&nbsp;Debt Financing",Venture - Series,0,16,ORG,
"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Seed,&nbsp;Debt Financing","Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Seed,&nbsp;Debt Financing",0,89,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Series A,&nbsp;Series B",Venture - Series,0,16,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Series C","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series",0,48,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Grant,&nbsp;Series B","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series",0,48,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Series C","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series",0,48,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Series A,&nbsp;Series B",Venture - Series,0,16,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Pre-Seed","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private",0,49,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Grant,&nbsp;Private Equity",Venture - Series,0,16,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Debt Financing,&nbsp;Private Equity,&nbsp;Series A","Venture - Series Unknown,&nbsp;Seed,&nbsp;Debt Financing,&nbsp;Private",0,70,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Debt Financing,&nbsp;Series A,&nbsp;Private Equity","Venture - Series Unknown,&nbsp;Seed,&nbsp;Debt Financing,&nbsp;Series A,&nbsp;Private Equity",0,92,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Series C","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series",0,48,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Series C","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series",0,48,ORG,
"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Post-IPO Equity,&nbsp;Debt Financing","Venture - Series Unknown,&nbsp;Private",0,38,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing,&nbsp;Series A","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private",0,49,ORG,
"Debt Financing,&nbsp;Seed,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Corporate Round","Debt Financing,&nbsp;Seed,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Corporate Round",0,99,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Debt Financing",Financing,80,89,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Debt Financing",Financing,80,89,ORG,
"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Debt Financing,&nbsp;Grant",Venture - Series,0,16,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C",0,80,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C",0,80,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Private Equity,&nbsp;Grant","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Private",0,64,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Debt Financing",Financing,80,89,ORG,
"Venture - Series Unknown,&nbsp;Debt Financing,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Series A",Venture - Series,0,16,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Debt Financing",Financing,80,89,ORG,
"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Debt Financing,&nbsp;Post-IPO Equity","Venture - Series Unknown,&nbsp;Private",0,38,ORG,
"Grant,&nbsp;Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing",Financing,80,89,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C",0,80,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Series A","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private",0,49,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Series A","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private",0,49,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Series A","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private",0,49,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Debt Financing","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private",0,49,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed",0,80,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Series C","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series",0,48,ORG,
"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Seed,&nbsp;Debt Financing","Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Seed,&nbsp;Debt Financing",0,89,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed",0,80,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Series A,&nbsp;Series B,&nbsp;Grant","Venture - Series Unknown,&nbsp;Seed,&nbsp;Series",0,48,ORG,
"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Debt Financing,&nbsp;Seed","Venture - Series Unknown,&nbsp;Private",0,38,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C",0,80,ORG,
"Venture - Series Unknown,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Series A",Venture - Series,0,16,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing,&nbsp;Series A","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private",0,49,ORG,
"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Grant,&nbsp;Debt Financing","Venture - Series Unknown,&nbsp;Private",0,38,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Debt Financing","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private",0,49,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Debt Financing",Financing,80,89,ORG,
"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Debt Financing,&nbsp;Post-IPO Equity","Venture - Series Unknown,&nbsp;Private",0,38,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C",0,80,ORG,
"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Debt Financing,&nbsp;Post-IPO Equity",Venture - Series,0,16,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Debt Financing","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private",0,49,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Debt Financing,&nbsp;Series A","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private",0,49,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Debt Financing","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private",0,49,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Debt Financing",Financing,80,89,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed",0,80,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Series A","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private",0,49,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Debt Financing,&nbsp;Series A","Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Debt Financing,&nbsp;Series",0,81,ORG,
"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Debt Financing,&nbsp;Post-IPO Equity","Venture - Series Unknown,&nbsp;Private",0,38,ORG,
"Seed,&nbsp;Pre-Seed,&nbsp;Series A,&nbsp;Grant,&nbsp;Venture - Series Unknown","A,&nbsp;Grant,&nbsp;Venture - Series Unknown",33,77,LAW,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Series A,&nbsp;Private Equity",Venture - Series,0,16,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C",0,80,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C",0,80,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Private Equity,&nbsp;Debt Financing",Financing,80,89,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Series A,&nbsp;Debt Financing","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private",0,49,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Debt Financing,&nbsp;Series A","Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Debt Financing,&nbsp;Series",0,81,ORG,
"Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Pre-Seed",0,80,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Series A","Venture - Series Unknown,&nbsp;Seed,&nbsp;Private",0,49,ORG,
"Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Series A,&nbsp;Series B",Venture - Series,0,16,ORG,
"Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Grant,&nbsp;Debt Financing","Venture - Series Unknown,&nbsp;Private",0,38,ORG,
